Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
Carrow,@kvetchus_,70,Trickster Rogue,Councilor,0,5/25/2016 3:34:35 PM,5/25/2016 8:25:53 PM,6/11/2016 9:32:08 AM,"","",
Peregrine,@sieryoku,65,Great Weapon Fighter,2nd Circle,0,2/15/2015 12:13:04 AM,,9/14/2015 2:26:53 AM,"","",
Draekros BorkFire,@draekros,70,Control Wizard,1st Circle,0,6/18/2015 5:34:47 PM,,6/10/2016 3:45:50 PM,"","",
Young-Blood,@sillyputty0,61,Control Wizard,1st Circle,0,6/12/2015 12:56:10 PM,,3/1/2016 12:20:49 PM,"","",
Tegalad Riftseeker,@riftology,69,Hunter Ranger,2nd Circle,0,2/13/2015 9:21:09 PM,,6/10/2016 11:21:37 PM,"","Eurantion Riftwalker alt- 14.3k gs",2/13/2015 9:22:15 PM
Draekros Darkbow,@draekros,70,Hunter Ranger,2nd Circle,0,6/18/2015 5:35:41 PM,,6/10/2016 3:47:43 PM,"","",
Valen,@hakadepedepe,70,Trickster Rogue,2nd Circle,0,3/22/2015 6:18:50 AM,,9/15/2015 7:05:22 AM,"","",
Pellanistra,@wyval01,70,Hunter Ranger,2nd Circle,0,10/24/2014 9:29:46 AM,,11/2/2015 6:54:26 AM,"","2k melee HR",5/24/2015 11:33:33 AM
Soletaken,@hakadepedepe,70,Control Wizard,2nd Circle,0,9/17/2014 5:08:15 PM,,9/15/2015 7:05:51 AM,"","",7/3/2015 3:45:26 AM
Agrikaana,@agrikaanus,70,Hunter Ranger,2nd Circle,0,1/28/2015 9:08:41 PM,,4/30/2016 9:46:36 AM,"","",
Agrikaano,@agrikaanus,70,Guardian Fighter,3rd Circle,0,2/8/2015 12:15:49 PM,,4/30/2016 9:48:20 AM,"","",
Agrikaani,@agrikaanus,70,Trickster Rogue,2nd Circle,0,2/8/2015 12:17:06 PM,,4/30/2016 9:43:41 AM,"","",
Ajantis,@wyval01,70,Guardian Fighter,3rd Circle,0,10/24/2014 9:36:34 AM,,11/2/2015 6:56:16 AM,"","16.2k",3/23/2015 11:50:28 AM
Knoma,@krausen1337,70,Trickster Rogue,5th Circle,0,5/16/2014 6:08:14 PM,,6/11/2016 4:40:12 AM,"","",
Krychek,@krausen1337,70,Devoted Cleric,5th Circle,0,5/16/2014 6:08:32 PM,,6/11/2016 4:40:42 AM,"","",
Tulgan Riftripper,@riftology,70,Great Weapon Fighter,2nd Circle,0,6/2/2015 8:27:27 PM,,6/10/2016 11:25:33 PM,"","",
Tati,@arandompanda,65,Hunter Ranger,2nd Circle,0,11/1/2014 12:39:35 PM,,6/7/2016 3:03:10 PM,"","",
Windwhisper,@sieryoku,70,Trickster Rogue,2nd Circle,0,2/10/2015 1:43:34 AM,,9/14/2015 2:08:30 AM,"","",
Chunkmater Nitro,@draekros,70,Guardian Fighter,2nd Circle,0,6/18/2015 5:38:47 PM,,6/10/2016 3:51:49 PM,"","",
BEHEMOTH,@sillyputty0,63,Great Weapon Fighter,1st Circle,0,6/26/2015 4:28:52 PM,,3/1/2016 12:23:02 PM,"","",
Draekros du Morte,@draekros,70,Scourge Warlock,2nd Circle,0,6/18/2015 5:29:13 PM,,6/10/2016 3:53:50 PM,"","",
Lileath Hesperax,@wyval01,70,Scourge Warlock,2nd Circle,0,9/17/2014 5:10:52 PM,,10/15/2015 12:50:19 PM,"","16k templock",3/23/2015 12:56:11 PM
Zara,@krausen1337,70,Scourge Warlock,2nd Circle,0,9/30/2014 2:41:28 AM,,6/11/2016 4:41:34 AM,"","",
Talos Valcoran,@wyval01,70,Devoted Cleric,1st Circle,0,6/13/2015 6:56:51 AM,,10/15/2015 12:48:57 PM,"","",
Boy Kaplog,@azrael778,61,Scourge Warlock,5th Circle,0,11/27/2014 5:23:48 PM,5/28/2016 7:01:29 AM,8/18/2015 4:30:25 AM,"","",
Skar,@gtan3003,60,Trickster Rogue,1st Circle,0,8/24/2015 11:25:09 AM,,8/25/2015 2:17:59 AM,"","",
Dracona,@arandompanda,65,Great Weapon Fighter,2nd Circle,0,11/4/2014 11:59:38 AM,,6/10/2016 6:19:41 PM,"","",
Malakai,@krausen1337,70,Control Wizard,2nd Circle,0,11/17/2014 7:29:50 PM,,6/11/2016 4:41:57 AM,"","",
Inioth Rift-dweller,@riftology,70,Trickster Rogue,1st Circle,0,8/18/2015 9:04:54 PM,,6/10/2016 11:27:32 PM,"","",
Mari shh,@madmaraca7,67,Trickster Rogue,2nd Circle,0,3/7/2015 11:59:55 AM,,1/19/2016 7:04:57 AM,"","",
Lothiriel Felagund,@lost1986soul,70,Control Wizard,1st Circle,0,11/10/2015 3:53:50 PM,,6/5/2016 5:35:05 PM,"","",
Cassi Chandler,@soippi,33,Devoted Cleric,2nd Circle,0,1/25/2015 11:48:53 AM,,10/26/2015 6:32:52 AM,"","",
Hildibrand Riftlet,@riftology,70,Control Wizard,1st Circle,0,11/28/2015 2:09:48 PM,,6/10/2016 11:28:54 PM,"","",
Tessa of Gorman,@tantalic,70,Trickster Rogue,Governor,0,2/10/2015 5:26:40 PM,,6/11/2016 4:44:10 AM,"","Rasp is main Governor of Greycloaks",2/28/2016 3:11:44 AM
Vorgar,@silence1x,62,Control Wizard,Councilor,0,2/17/2015 2:12:58 PM,,5/25/2016 8:26:30 PM,"","Samm's MoF CW",6/29/2015 8:58:19 PM
AnnabellaTrix,@blackleaffe,61,Control Wizard,1st Circle,0,5/26/2015 4:25:54 PM,,9/2/2015 3:41:45 AM,"","",
Amendera Kendel,@wyval01,70,Oathbound Paladin,3rd Circle,0,4/25/2015 3:09:24 AM,,9/29/2015 5:45:26 AM,"","",
Timebound Aegis,@ricksaw4,70,Oathbound Paladin,1st Circle,0,8/24/2015 9:42:47 PM,,11/28/2015 7:35:24 PM,"","",
Shel Nookdweller,@lost1986soul,70,Great Weapon Fighter,1st Circle,0,8/18/2015 8:00:25 PM,,6/10/2016 8:29:44 PM,"","",
Fordaorn,@mediocrateez1,48,Oathbound Paladin,1st Circle,0,8/23/2015 3:46:07 AM,,8/31/2015 2:30:34 AM,"","",
Grieta,@shiralac,66,Devoted Cleric,1st Circle,0,7/25/2015 1:20:18 PM,,6/11/2016 8:15:15 AM,"","",
