Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
Sekhmet,@kvetchus_,70,Control Wizard,Order of Sekhmet,0,4/25/2013 12:40:49 PM,5/2/2016 10:22:12 PM,5/23/2016 11:52:03 AM,"","<color red>}:-]</color>",6/6/2014 9:00:39 AM
Lady Frost,@Lady-Frost,70,Trickster Rogue,Order of Ni,0,5/8/2016 4:00:12 PM,,5/23/2016 2:58:53 AM,"","",
Wyn Cadfael,@llewelyn89,70,Guardian Fighter,Order of the Aegis-Fang,0,8/7/2015 10:51:32 AM,,5/23/2016 11:34:22 AM,"","",
Gwydion Lunaer,@trystenal,70,Control Wizard,Order of the Wolf,0,9/21/2015 9:31:40 PM,,5/23/2016 10:15:11 AM,"","party-buff-o-matic MoF",1/30/2016 4:26:47 PM
Vondal Stoneheart,@dumdragon,70,Great Weapon Fighter,Order of the Aegis-Fang,0,8/12/2015 11:59:57 AM,,5/23/2016 3:32:50 AM,"","                   Will try any dungeon once,  Twice if I like it  :)",9/15/2015 1:10:52 AM
Draekros Morte,@draekros,70,Trickster Rogue,Order of the Dragon,0,6/7/2015 5:27:08 PM,,5/22/2016 11:35:22 AM,"","",
Desiderio,@trystenal,70,Devoted Cleric,Order of the Wolf,0,3/11/2014 10:04:21 PM,,5/23/2016 10:16:07 AM,"","debuff-o-tron",2/18/2016 11:53:38 PM,"Qualifies.",Malanael Corventus@slaaneshihorror,2/8/2015 9:37:28 PM
Yay,@Krulefna,70,Devoted Cleric,Order of the Aegis-Fang,0,12/13/2015 5:06:48 PM,,5/23/2016 10:16:14 AM,"","Faithful AC",5/12/2016 4:32:39 PM
Carto,@cartograph,70,Great Weapon Fighter,Order of the Aegis-Fang,0,9/28/2015 3:58:58 PM,,5/22/2016 5:20:19 PM,"","",
Aelar MoonShadow,@harshfriend,70,Trickster Rogue,Order of the Wolf,0,4/30/2016 11:53:44 AM,5/1/2016 8:18:06 PM,5/22/2016 7:57:43 PM,"","",
Morthos Blackbard,@evilmob1,70,Trickster Rogue,Order of the Wolf,0,6/11/2015 1:39:40 PM,,5/23/2016 8:18:01 AM,"","",
Baroness,@Lady-Frost,70,Control Wizard,Order of Ni,0,12/6/2015 4:48:07 PM,,5/23/2016 2:57:29 AM,"","",
Eruantion Riftwalker,@riftology,70,Devoted Cleric,Order of the Wolf,0,4/1/2014 2:17:45 AM,,5/22/2016 8:38:58 PM,"","",5/16/2015 9:56:16 PM,"Qualifies.",Malanael Corventus@slaaneshihorror,2/8/2015 4:17:42 PM
Samm Lightfoot,@Dagmyre,70,Trickster Rogue,Order of the Wolf,0,6/2/2015 11:05:00 PM,,5/18/2016 12:25:52 AM,"","",
Volgera,@volgera,70,Great Weapon Fighter,Order of the Wolf,0,8/13/2015 6:26:16 AM,,5/22/2016 7:21:06 AM,"","",4/30/2016 4:25:35 AM
Andalorum,@rhasgobel,70,Control Wizard,Order of the Aegis-Fang,0,1/10/2016 4:52:37 PM,,5/23/2016 11:09:58 AM,"","3.2k thaumapressor freezepop",5/7/2016 5:45:31 AM
Rai'sojin,@daisojin,70,Trickster Rogue,Order of the Aegis-Fang,0,3/24/2016 4:22:26 PM,4/8/2016 2:32:16 PM,5/21/2016 4:12:58 AM,"","hi all :)",3/24/2016 4:51:58 PM
Selrog,@thir13,70,Trickster Rogue,Order of the Dragon,0,1/24/2016 5:10:42 PM,4/3/2016 5:03:55 AM,4/19/2016 11:05:29 AM,"","",
Blabidur,@blababir,70,Control Wizard,Order of Ni,0,1/16/2016 2:52:29 PM,,5/23/2016 8:29:00 AM,"","masterwork alchemy here",4/18/2016 6:57:34 PM
Ayiana,@ay1ana,70,Great Weapon Fighter,Order of Ni,0,8/12/2015 1:12:32 PM,,5/5/2016 3:16:11 PM,"","Vanguardian Princess",1/23/2016 10:39:04 PM
Krausen,@krausen1337,70,Guardian Fighter,Order of the Golden Shield,0,1/2/2014 1:11:23 PM,,5/23/2016 3:43:17 AM,"","",,"Qualifies.",Malanael Corventus@slaaneshihorror,2/8/2015 4:21:23 PM
Iachawr Neilltuo,@llewelyn89,70,Devoted Cleric,Order of Ni,0,2/26/2016 9:19:45 AM,,5/23/2016 11:30:52 AM,"","",
